,Time,Month,cum_gap
0,2019-01-02,2019-01,0.0
1,2019-01-03,2019-01,0.0
2,2019-01-04,2019-01,0.0
3,2019-01-07,2019-01,0.0
4,2019-01-08,2019-01,0.0
5,2019-01-09,2019-01,0.0
6,2019-01-10,2019-01,0.0
7,2019-01-11,2019-01,0.0
8,2019-01-14,2019-01,0.0
9,2019-01-15,2019-01,0.0
10,2019-01-16,2019-01,0.0
11,2019-01-17,2019-01,0.0
12,2019-01-18,2019-01,0.0
13,2019-01-22,2019-01,0.0
14,2019-01-23,2019-01,0.0
15,2019-01-24,2019-01,0.0
16,2019-01-25,2019-01,0.0
17,2019-01-28,2019-01,0.0
18,2019-01-29,2019-01,0.0
19,2019-01-30,2019-01,0.0
20,2019-01-31,2019-01,0.0
21,2019-02-01,2019-02,24.0
22,2019-02-04,2019-02,24.0
23,2019-02-05,2019-02,24.0
24,2019-02-06,2019-02,24.0
25,2019-02-07,2019-02,24.0
26,2019-02-08,2019-02,24.0
27,2019-02-11,2019-02,24.0
28,2019-02-12,2019-02,24.0
29,2019-02-13,2019-02,24.0
30,2019-02-14,2019-02,24.0
31,2019-02-15,2019-02,24.0
32,2019-02-19,2019-02,24.0
33,2019-02-20,2019-02,24.0
34,2019-02-21,2019-02,24.0
35,2019-02-22,2019-02,24.0
36,2019-02-25,2019-02,24.0
37,2019-02-26,2019-02,24.0
38,2019-02-27,2019-02,24.0
39,2019-02-28,2019-02,24.0
40,2019-03-01,2019-03,10.5
41,2019-03-04,2019-03,10.5
42,2019-03-05,2019-03,10.5
43,2019-03-06,2019-03,10.5
44,2019-03-07,2019-03,10.5
45,2019-03-08,2019-03,10.5
46,2019-03-11,2019-03,10.5
47,2019-03-12,2019-03,10.5
48,2019-03-13,2019-03,10.5
49,2019-03-14,2019-03,10.5
50,2019-03-15,2019-03,10.5
51,2019-03-18,2019-03,10.5
52,2019-03-19,2019-03,10.5
53,2019-03-20,2019-03,10.5
54,2019-03-21,2019-03,10.5
55,2019-03-22,2019-03,10.5
56,2019-03-25,2019-03,10.5
57,2019-03-26,2019-03,10.5
58,2019-03-27,2019-03,10.5
59,2019-03-28,2019-03,10.5
60,2019-03-29,2019-03,10.5
61,2019-04-01,2019-04,6.75
62,2019-04-02,2019-04,6.75
63,2019-04-03,2019-04,6.75
64,2019-04-04,2019-04,6.75
65,2019-04-05,2019-04,6.75
66,2019-04-08,2019-04,6.75
67,2019-04-09,2019-04,6.75
68,2019-04-10,2019-04,6.75
69,2019-04-11,2019-04,6.75
70,2019-04-12,2019-04,6.75
71,2019-04-15,2019-04,6.75
72,2019-04-16,2019-04,6.75
73,2019-04-17,2019-04,6.75
74,2019-04-18,2019-04,6.75
75,2019-04-22,2019-04,6.75
76,2019-04-23,2019-04,6.75
77,2019-04-24,2019-04,6.75
78,2019-04-25,2019-04,6.75
79,2019-04-26,2019-04,6.75
80,2019-04-29,2019-04,6.75
81,2019-04-30,2019-04,6.75
82,2019-05-01,2019-05,-12.75
83,2019-05-02,2019-05,-12.75
84,2019-05-03,2019-05,-12.75
85,2019-05-06,2019-05,-12.75
86,2019-05-07,2019-05,-12.75
87,2019-05-08,2019-05,-12.75
88,2019-05-09,2019-05,-12.75
89,2019-05-10,2019-05,-12.75
90,2019-05-13,2019-05,-12.75
91,2019-05-14,2019-05,-12.75
92,2019-05-15,2019-05,-12.75
93,2019-05-16,2019-05,-12.75
94,2019-05-17,2019-05,-12.75
95,2019-05-20,2019-05,-12.75
96,2019-05-21,2019-05,-12.75
97,2019-05-22,2019-05,-12.75
98,2019-05-23,2019-05,-12.75
99,2019-05-24,2019-05,-12.75
100,2019-05-28,2019-05,-12.75
101,2019-05-29,2019-05,-12.75
102,2019-05-30,2019-05,-12.75
103,2019-05-31,2019-05,-12.75
104,2019-06-03,2019-06,-16.5
105,2019-06-04,2019-06,-16.5
106,2019-06-05,2019-06,-16.5
107,2019-06-06,2019-06,-16.5
108,2019-06-07,2019-06,-16.5
109,2019-06-10,2019-06,-16.5
110,2019-06-11,2019-06,-16.5
111,2019-06-12,2019-06,-16.5
112,2019-06-13,2019-06,-16.5
113,2019-06-14,2019-06,-16.5
114,2019-06-17,2019-06,-16.5
115,2019-06-18,2019-06,-16.5
116,2019-06-19,2019-06,-16.5
117,2019-06-20,2019-06,-16.5
118,2019-06-21,2019-06,-16.5
119,2019-06-24,2019-06,-16.5
120,2019-06-25,2019-06,-16.5
121,2019-06-26,2019-06,-16.5
122,2019-06-27,2019-06,-16.5
123,2019-06-28,2019-06,-16.5
124,2019-07-01,2019-07,-24.5
125,2019-07-02,2019-07,-24.5
126,2019-07-03,2019-07,-24.5
127,2019-07-05,2019-07,-24.5
128,2019-07-08,2019-07,-24.5
129,2019-07-09,2019-07,-24.5
130,2019-07-10,2019-07,-24.5
131,2019-07-11,2019-07,-24.5
132,2019-07-12,2019-07,-24.5
133,2019-07-15,2019-07,-24.5
134,2019-07-16,2019-07,-24.5
135,2019-07-17,2019-07,-24.5
136,2019-07-18,2019-07,-24.5
137,2019-07-19,2019-07,-24.5
138,2019-07-22,2019-07,-24.5
139,2019-07-23,2019-07,-24.5
140,2019-07-24,2019-07,-24.5
141,2019-07-25,2019-07,-24.5
142,2019-07-26,2019-07,-24.5
143,2019-07-29,2019-07,-24.5
144,2019-07-30,2019-07,-24.5
145,2019-07-31,2019-07,-24.5
146,2019-08-01,2019-08,-7.25
147,2019-08-02,2019-08,-7.25
148,2019-08-05,2019-08,-7.25
149,2019-08-06,2019-08,-7.25
150,2019-08-07,2019-08,-7.25
151,2019-08-08,2019-08,-7.25
152,2019-08-09,2019-08,-7.25
153,2019-08-12,2019-08,-7.25
154,2019-08-13,2019-08,-7.25
155,2019-08-14,2019-08,-7.25
156,2019-08-15,2019-08,-7.25
157,2019-08-16,2019-08,-7.25
158,2019-08-19,2019-08,-7.25
159,2019-08-20,2019-08,-7.25
160,2019-08-21,2019-08,-7.25
161,2019-08-22,2019-08,-7.25
162,2019-08-23,2019-08,-7.25
163,2019-08-26,2019-08,-7.25
164,2019-08-27,2019-08,-7.25
165,2019-08-28,2019-08,-7.25
166,2019-08-29,2019-08,-7.25
167,2019-08-30,2019-08,-7.25
168,2019-09-03,2019-09,-12.0
169,2019-09-04,2019-09,-12.0
170,2019-09-05,2019-09,-12.0
171,2019-09-06,2019-09,-12.0
172,2019-09-09,2019-09,-12.0
173,2019-09-10,2019-09,-12.0
174,2019-09-11,2019-09,-12.0
175,2019-09-12,2019-09,-12.0
176,2019-09-13,2019-09,-12.0
177,2019-09-16,2019-09,-12.0
178,2019-09-17,2019-09,-12.0
179,2019-09-18,2019-09,-12.0
180,2019-09-19,2019-09,-12.0
181,2019-09-20,2019-09,-12.0
182,2019-09-23,2019-09,-12.0
183,2019-09-24,2019-09,-12.0
184,2019-09-25,2019-09,-12.0
185,2019-09-26,2019-09,-12.0
186,2019-09-27,2019-09,-12.0
187,2019-09-30,2019-09,-12.0
188,2019-10-01,2019-10,-19.25
189,2019-10-02,2019-10,-19.25
190,2019-10-03,2019-10,-19.25
191,2019-10-04,2019-10,-19.25
192,2019-10-07,2019-10,-19.25
193,2019-10-08,2019-10,-19.25
194,2019-10-09,2019-10,-19.25
195,2019-10-10,2019-10,-19.25
196,2019-10-11,2019-10,-19.25
197,2019-10-14,2019-10,-19.25
198,2019-10-15,2019-10,-19.25
199,2019-10-16,2019-10,-19.25
200,2019-10-17,2019-10,-19.25
201,2019-10-18,2019-10,-19.25
202,2019-10-21,2019-10,-19.25
203,2019-10-22,2019-10,-19.25
204,2019-10-23,2019-10,-19.25
205,2019-10-24,2019-10,-19.25
206,2019-10-25,2019-10,-19.25
207,2019-10-28,2019-10,-19.25
208,2019-10-29,2019-10,-19.25
209,2019-10-30,2019-10,-19.25
210,2019-10-31,2019-10,-19.25
211,2019-11-01,2019-11,30.25
212,2019-11-04,2019-11,30.25
213,2019-11-05,2019-11,30.25
214,2019-11-06,2019-11,30.25
215,2019-11-07,2019-11,30.25
216,2019-11-08,2019-11,30.25
217,2019-11-11,2019-11,30.25
218,2019-11-12,2019-11,30.25
219,2019-11-13,2019-11,30.25
220,2019-11-14,2019-11,30.25
221,2019-11-15,2019-11,30.25
222,2019-11-18,2019-11,30.25
223,2019-11-19,2019-11,30.25
224,2019-11-20,2019-11,30.25
225,2019-11-21,2019-11,30.25
226,2019-11-22,2019-11,30.25
227,2019-11-25,2019-11,30.25
228,2019-11-26,2019-11,30.25
229,2019-11-27,2019-11,30.25
230,2019-11-29,2019-11,30.25
231,2019-12-02,2019-12,54.0
232,2019-12-03,2019-12,54.0
233,2019-12-04,2019-12,54.0
234,2019-12-05,2019-12,54.0
235,2019-12-06,2019-12,54.0
236,2019-12-09,2019-12,54.0
237,2019-12-10,2019-12,54.0
238,2019-12-11,2019-12,54.0
239,2019-12-12,2019-12,54.0
240,2019-12-13,2019-12,54.0
241,2019-12-16,2019-12,54.0
242,2019-12-17,2019-12,54.0
243,2019-12-18,2019-12,54.0
244,2019-12-19,2019-12,54.0
245,2019-12-20,2019-12,54.0
246,2019-12-23,2019-12,54.0
247,2019-12-24,2019-12,54.0
248,2019-12-26,2019-12,54.0
249,2019-12-27,2019-12,54.0
250,2019-12-30,2019-12,54.0
251,2019-12-31,2019-12,54.0
252,2020-01-02,2020-01,121.5
253,2020-01-03,2020-01,121.5
254,2020-01-06,2020-01,121.5
255,2020-01-07,2020-01,121.5
256,2020-01-08,2020-01,121.5
257,2020-01-09,2020-01,121.5
258,2020-01-10,2020-01,121.5
259,2020-01-13,2020-01,121.5
260,2020-01-14,2020-01,121.5
261,2020-01-15,2020-01,121.5
262,2020-01-16,2020-01,121.5
263,2020-01-17,2020-01,121.5
264,2020-01-21,2020-01,121.5
265,2020-01-22,2020-01,121.5
266,2020-01-23,2020-01,121.5
267,2020-01-24,2020-01,121.5
268,2020-01-27,2020-01,121.5
269,2020-01-28,2020-01,121.5
270,2020-01-29,2020-01,121.5
271,2020-01-30,2020-01,121.5
272,2020-01-31,2020-01,121.5
273,2020-02-03,2020-02,39.5
274,2020-02-04,2020-02,39.5
275,2020-02-05,2020-02,39.5
276,2020-02-06,2020-02,39.5
277,2020-02-07,2020-02,39.5
278,2020-02-10,2020-02,39.5
279,2020-02-11,2020-02,39.5
280,2020-02-12,2020-02,39.5
281,2020-02-13,2020-02,39.5
282,2020-02-14,2020-02,39.5
283,2020-02-18,2020-02,39.5
284,2020-02-19,2020-02,39.5
285,2020-02-20,2020-02,39.5
286,2020-02-21,2020-02,39.5
287,2020-02-24,2020-02,39.5
288,2020-02-25,2020-02,39.5
289,2020-02-26,2020-02,39.5
290,2020-02-27,2020-02,39.5
291,2020-02-28,2020-02,39.5
292,2020-03-02,2020-03,-38.75
293,2020-03-03,2020-03,-38.75
294,2020-03-04,2020-03,-38.75
295,2020-03-05,2020-03,-38.75
296,2020-03-06,2020-03,-38.75
297,2020-03-09,2020-03,-38.75
298,2020-03-10,2020-03,-38.75
299,2020-03-11,2020-03,-38.75
300,2020-03-12,2020-03,-38.75
301,2020-03-13,2020-03,-38.75
302,2020-03-16,2020-03,-38.75
303,2020-03-17,2020-03,-38.75
304,2020-03-18,2020-03,-38.75
305,2020-03-19,2020-03,-38.75
306,2020-03-20,2020-03,-38.75
307,2020-03-23,2020-03,-38.75
308,2020-03-24,2020-03,-38.75
309,2020-03-25,2020-03,-38.75
310,2020-03-26,2020-03,-38.75
311,2020-03-27,2020-03,-38.75
312,2020-03-30,2020-03,-38.75
313,2020-03-31,2020-03,-38.75
314,2020-04-01,2020-04,-49.0
315,2020-04-02,2020-04,-49.0
316,2020-04-03,2020-04,-49.0
317,2020-04-06,2020-04,-49.0
318,2020-04-07,2020-04,-49.0
319,2020-04-08,2020-04,-49.0
320,2020-04-09,2020-04,-49.0
321,2020-04-13,2020-04,-49.0
322,2020-04-14,2020-04,-49.0
323,2020-04-15,2020-04,-49.0
324,2020-04-16,2020-04,-49.0
325,2020-04-17,2020-04,-49.0
326,2020-04-20,2020-04,-49.0
327,2020-04-21,2020-04,-49.0
328,2020-04-22,2020-04,-49.0
329,2020-04-23,2020-04,-49.0
330,2020-04-24,2020-04,-49.0
331,2020-04-27,2020-04,-49.0
332,2020-04-28,2020-04,-49.0
333,2020-04-29,2020-04,-49.0
334,2020-04-30,2020-04,-49.0
335,2020-05-01,2020-05,-72.75
336,2020-05-04,2020-05,-72.75
337,2020-05-05,2020-05,-72.75
338,2020-05-06,2020-05,-72.75
339,2020-05-07,2020-05,-72.75
340,2020-05-08,2020-05,-72.75
341,2020-05-11,2020-05,-72.75
342,2020-05-12,2020-05,-72.75
343,2020-05-13,2020-05,-72.75
344,2020-05-14,2020-05,-72.75
345,2020-05-15,2020-05,-72.75
346,2020-05-18,2020-05,-72.75
347,2020-05-19,2020-05,-72.75
348,2020-05-20,2020-05,-72.75
349,2020-05-21,2020-05,-72.75
350,2020-05-22,2020-05,-72.75
351,2020-05-26,2020-05,-72.75
352,2020-05-27,2020-05,-72.75
353,2020-05-28,2020-05,-72.75
354,2020-05-29,2020-05,-72.75
355,2020-06-01,2020-06,-31.25
356,2020-06-02,2020-06,-31.25
357,2020-06-03,2020-06,-31.25
358,2020-06-04,2020-06,-31.25
359,2020-06-05,2020-06,-31.25
360,2020-06-08,2020-06,-31.25
361,2020-06-09,2020-06,-31.25
362,2020-06-10,2020-06,-31.25
363,2020-06-11,2020-06,-31.25
364,2020-06-12,2020-06,-31.25
365,2020-06-15,2020-06,-31.25
366,2020-06-16,2020-06,-31.25
367,2020-06-17,2020-06,-31.25
368,2020-06-18,2020-06,-31.25
369,2020-06-19,2020-06,-31.25
370,2020-06-22,2020-06,-31.25
371,2020-06-23,2020-06,-31.25
372,2020-06-24,2020-06,-31.25
373,2020-06-25,2020-06,-31.25
374,2020-06-26,2020-06,-31.25
375,2020-06-29,2020-06,-31.25
376,2020-06-30,2020-06,-31.25
377,2020-07-01,2020-07,-44.0
378,2020-07-02,2020-07,-44.0
379,2020-07-06,2020-07,-44.0
380,2020-07-07,2020-07,-44.0
381,2020-07-08,2020-07,-44.0
382,2020-07-09,2020-07,-44.0
383,2020-07-10,2020-07,-44.0
384,2020-07-13,2020-07,-44.0
385,2020-07-14,2020-07,-44.0
386,2020-07-15,2020-07,-44.0
387,2020-07-16,2020-07,-44.0
388,2020-07-17,2020-07,-44.0
389,2020-07-20,2020-07,-44.0
390,2020-07-21,2020-07,-44.0
391,2020-07-22,2020-07,-44.0
392,2020-07-23,2020-07,-44.0
393,2020-07-24,2020-07,-44.0
394,2020-07-27,2020-07,-44.0
395,2020-07-28,2020-07,-44.0
396,2020-07-29,2020-07,-44.0
397,2020-07-30,2020-07,-44.0
398,2020-07-31,2020-07,-44.0
399,2020-08-03,2020-08,2.5
400,2020-08-04,2020-08,2.5
401,2020-08-05,2020-08,2.5
402,2020-08-06,2020-08,2.5
403,2020-08-07,2020-08,2.5
404,2020-08-10,2020-08,2.5
405,2020-08-11,2020-08,2.5
406,2020-08-12,2020-08,2.5
407,2020-08-13,2020-08,2.5
408,2020-08-14,2020-08,2.5
409,2020-08-17,2020-08,2.5
410,2020-08-18,2020-08,2.5
411,2020-08-19,2020-08,2.5
412,2020-08-20,2020-08,2.5
413,2020-08-21,2020-08,2.5
414,2020-08-24,2020-08,2.5
415,2020-08-25,2020-08,2.5
416,2020-08-26,2020-08,2.5
417,2020-08-27,2020-08,2.5
418,2020-08-28,2020-08,2.5
419,2020-08-31,2020-08,2.5
420,2020-09-01,2020-09,25.5
421,2020-09-02,2020-09,25.5
422,2020-09-03,2020-09,25.5
423,2020-09-04,2020-09,25.5
424,2020-09-08,2020-09,25.5
425,2020-09-09,2020-09,25.5
426,2020-09-10,2020-09,25.5
427,2020-09-11,2020-09,25.5
428,2020-09-14,2020-09,25.5
429,2020-09-15,2020-09,25.5
430,2020-09-16,2020-09,25.5
431,2020-09-17,2020-09,25.5
432,2020-09-18,2020-09,25.5
433,2020-09-21,2020-09,25.5
434,2020-09-22,2020-09,25.5
435,2020-09-23,2020-09,25.5
436,2020-09-24,2020-09,25.5
437,2020-09-25,2020-09,25.5
438,2020-09-28,2020-09,25.5
439,2020-09-29,2020-09,25.5
440,2020-09-30,2020-09,25.5
441,2020-10-01,2020-10,5.25
442,2020-10-02,2020-10,5.25
443,2020-10-05,2020-10,5.25
444,2020-10-06,2020-10,5.25
445,2020-10-07,2020-10,5.25
446,2020-10-08,2020-10,5.25
447,2020-10-09,2020-10,5.25
448,2020-10-12,2020-10,5.25
449,2020-10-13,2020-10,5.25
450,2020-10-14,2020-10,5.25
451,2020-10-15,2020-10,5.25
452,2020-10-16,2020-10,5.25
453,2020-10-19,2020-10,5.25
454,2020-10-20,2020-10,5.25
455,2020-10-21,2020-10,5.25
456,2020-10-22,2020-10,5.25
457,2020-10-23,2020-10,5.25
458,2020-10-26,2020-10,5.25
459,2020-10-27,2020-10,5.25
460,2020-10-28,2020-10,5.25
461,2020-10-29,2020-10,5.25
462,2020-10-30,2020-10,5.25
463,2020-11-02,2020-11,11.75
464,2020-11-03,2020-11,11.75
465,2020-11-04,2020-11,11.75
466,2020-11-05,2020-11,11.75
467,2020-11-06,2020-11,11.75
468,2020-11-09,2020-11,11.75
469,2020-11-10,2020-11,11.75
470,2020-11-11,2020-11,11.75
471,2020-11-12,2020-11,11.75
472,2020-11-13,2020-11,11.75
473,2020-11-16,2020-11,11.75
474,2020-11-17,2020-11,11.75
475,2020-11-18,2020-11,11.75
476,2020-11-19,2020-11,11.75
477,2020-11-20,2020-11,11.75
478,2020-11-23,2020-11,11.75
479,2020-11-24,2020-11,11.75
480,2020-11-25,2020-11,11.75
481,2020-11-27,2020-11,11.75
482,2020-11-30,2020-11,11.75
483,2020-12-01,2020-12,32.25
484,2020-12-02,2020-12,32.25
485,2020-12-03,2020-12,32.25
486,2020-12-04,2020-12,32.25
487,2020-12-07,2020-12,32.25
488,2020-12-08,2020-12,32.25
489,2020-12-09,2020-12,32.25
490,2020-12-10,2020-12,32.25
491,2020-12-11,2020-12,32.25
492,2020-12-14,2020-12,32.25
493,2020-12-15,2020-12,32.25
494,2020-12-16,2020-12,32.25
495,2020-12-17,2020-12,32.25
496,2020-12-18,2020-12,32.25
497,2020-12-21,2020-12,32.25
498,2020-12-22,2020-12,32.25
499,2020-12-23,2020-12,32.25
500,2020-12-24,2020-12,32.25
501,2020-12-28,2020-12,32.25
502,2020-12-29,2020-12,32.25
503,2020-12-30,2020-12,32.25
504,2020-12-31,2020-12,32.25
505,2021-01-04,2021-01,99.5
506,2021-01-05,2021-01,99.5
507,2021-01-06,2021-01,99.5
508,2021-01-07,2021-01,99.5
509,2021-01-08,2021-01,99.5
510,2021-01-11,2021-01,99.5
511,2021-01-12,2021-01,99.5
512,2021-01-13,2021-01,99.5
513,2021-01-14,2021-01,99.5
514,2021-01-15,2021-01,99.5
515,2021-01-19,2021-01,99.5
516,2021-01-20,2021-01,99.5
517,2021-01-21,2021-01,99.5
518,2021-01-22,2021-01,99.5
519,2021-01-25,2021-01,99.5
520,2021-01-26,2021-01,99.5
521,2021-01-27,2021-01,99.5
522,2021-01-28,2021-01,99.5
523,2021-01-29,2021-01,99.5
524,2021-02-01,2021-02,72.75
525,2021-02-02,2021-02,72.75
526,2021-02-03,2021-02,72.75
527,2021-02-04,2021-02,72.75
528,2021-02-05,2021-02,72.75
529,2021-02-08,2021-02,72.75
530,2021-02-09,2021-02,72.75
531,2021-02-10,2021-02,72.75
532,2021-02-11,2021-02,72.75
533,2021-02-12,2021-02,72.75
534,2021-02-16,2021-02,72.75
535,2021-02-17,2021-02,72.75
536,2021-02-18,2021-02,72.75
537,2021-02-19,2021-02,72.75
538,2021-02-22,2021-02,72.75
539,2021-02-23,2021-02,72.75
540,2021-02-24,2021-02,72.75
541,2021-02-25,2021-02,72.75
542,2021-02-26,2021-02,72.75
543,2021-03-01,2021-03,88.25
544,2021-03-02,2021-03,88.25
545,2021-03-03,2021-03,88.25
546,2021-03-04,2021-03,88.25
547,2021-03-05,2021-03,88.25
548,2021-03-08,2021-03,88.25
549,2021-03-09,2021-03,88.25
550,2021-03-10,2021-03,88.25
551,2021-03-11,2021-03,88.25
552,2021-03-12,2021-03,88.25
553,2021-03-15,2021-03,88.25
554,2021-03-16,2021-03,88.25
555,2021-03-17,2021-03,88.25
556,2021-03-18,2021-03,88.25
557,2021-03-19,2021-03,88.25
558,2021-03-22,2021-03,88.25
559,2021-03-23,2021-03,88.25
560,2021-03-24,2021-03,88.25
561,2021-03-25,2021-03,88.25
562,2021-03-26,2021-03,88.25
563,2021-03-29,2021-03,88.25
564,2021-03-30,2021-03,88.25
565,2021-03-31,2021-03,88.25
566,2021-04-01,2021-04,39.25
567,2021-04-05,2021-04,39.25
568,2021-04-06,2021-04,39.25
569,2021-04-07,2021-04,39.25
570,2021-04-08,2021-04,39.25
571,2021-04-09,2021-04,39.25
572,2021-04-12,2021-04,39.25
573,2021-04-13,2021-04,39.25
574,2021-04-14,2021-04,39.25
575,2021-04-15,2021-04,39.25
576,2021-04-16,2021-04,39.25
577,2021-04-19,2021-04,39.25
578,2021-04-20,2021-04,39.25
579,2021-04-21,2021-04,39.25
580,2021-04-22,2021-04,39.25
581,2021-04-23,2021-04,39.25
582,2021-04-26,2021-04,39.25
583,2021-04-27,2021-04,39.25
584,2021-04-28,2021-04,39.25
585,2021-04-29,2021-04,39.25
586,2021-04-30,2021-04,39.25
587,2021-05-03,2021-05,76.75
588,2021-05-04,2021-05,76.75
589,2021-05-05,2021-05,76.75
590,2021-05-06,2021-05,76.75
